county_name,all_county_trips,powscar_all,powscar_assessed,other_all,other_assessed,prop_all_assessed,prop_powscar_assessed,prop_other_assessed,work_assessed_trips,primary_assessed_trips,secondary_assessed_trips,tertiary_assessed_trips,social_assessed_trips,personal_assessed_trips,shopping_assessed_trips,recreation_assessed_trips,pcycle_baseline,pcycle_near,pcycle_climate,pcycle_godutch,pcycle_ebike,cycle_trips,car_trips,foot_trips,public_transport_trips,other_trips,cycle_work,cycle_primary,cycle_secondary,cycle_tertiary,car_work,car_primary,car_secondary,car_tertiary,foot_work,foot_primary,foot_secondary,foot_tertiary,pt_work,pt_primary,pt_secondary,pt_tertiary,other_work,other_primary,other_secondary,other_tertiary,population
Westmeath,0,45905,31969.80467863102,85617.7332,86062.77368347613,Inf,0.6964340415778459,1.0051979942337008,17612.273876775107,7966.085178658175,5523.606752421427,867.8388707763064,56062.03024367593,9217.115500280093,14399.268708193831,6384.359231326274,1.7045727109978612,5.754362368262321,28.907751951761735,45.362886605679655,47.465378278670364,544.9485663112619,22177.222987746238,4881.668491519942,2922.717238260723,1443.24739479285,371.1999695402239,99.26553132928315,61.70071554500015,12.782349896754637,13360.135370640592,5341.437984800834,3050.5455430730412,425.10408923177107,2110.544800217145,1461.5986647136158,1003.061976001033,306.46305058814806,522.1765702820222,964.8289667580495,1332.9100340217271,102.80166719892439,1248.2171660951244,98.9540310563926,75.3884837806248,20.68771386070819,88770
Kilkenny,0,52687,38699.94247884121,95893.17120000001,95010.2096361798,Inf,0.7345254517972405,0.9907922373118868,21952.28465523394,9443.06655668043,6562.574821902909,742.0164450239276,63010.711896610555,10518.998636473387,16245.045786904142,5235.45331619172,1.4430065353928136,4.419798904157101,24.1390221324447,37.72717526863739,40.86117445019169,558.4426991629383,27243.36630147908,5345.984428644943,3807.721486575235,1744.4275629790154,427.39719066212473,76.30977265300079,45.50263192119613,9.233103926616602,17082.375729048697,6002.096554215028,3736.554518384133,422.339499831218,2522.825809480728,1711.5057156364956,937.8900472771969,173.76285625052358,334.21260202923975,1569.1834639297012,1785.8214221263818,118.50399848991216,1585.4733240131523,83.9710502462044,56.8062021940015,18.176986525657295,99232
Waterford,0,59117,45680.626998014195,112765.76789999999,85069.4810133098,Inf,0.7727155809329668,0.754391005333719,26727.32569023905,9697.644358413247,7242.825707389922,2012.831241971979,52631.60452208982,11302.10128250016,16058.278001043893,5077.497207675929,1.6818071089019018,4.745396126249464,25.65149732018211,37.71740839998342,41.6387465698397,768.2600322435642,33256.66412018927,6455.460122873475,3347.4986158732117,1852.744106834676,519.529994029438,109.54155463639765,91.68734384055628,47.50113973717223,20954.172598945115,6879.523501297085,4444.486970834524,978.4810491125448,3036.7453184879373,1556.2479135351696,1169.0791355635856,693.3877552867818,579.8412716420539,1058.5935514423318,1469.1407350741713,239.92305771465456,1637.0365071345047,93.73783750226121,68.43152207708464,53.53824012082525,116176
Clare,0,61585,45227.216292721,115343.83845,97299.63194618492,Inf,0.7343868846751807,0.8435615916177699,24771.568319912458,11239.452780011034,7857.674292677959,1358.5209001195499,60621.67032251702,12278.58540204719,18756.281948164517,5643.094273456194,1.3704256073366123,4.990123765267579,28.78649622051685,42.16224135610591,44.824786925193294,619.805353560965,33620.328385709174,5730.087942897154,3380.905031123497,1876.0895794302153,405.2187608316464,99.81938307715834,59.761663999331525,55.00554565282876,20054.187108197246,8018.680408083946,4863.633834782275,683.8270346457037,2284.329365448163,1975.9715337411058,1083.561064680698,386.22597902718644,360.1242150007758,1032.328308393966,1770.5784352192743,217.8740725094807,1667.7088704346259,112.6531467148586,80.13929399638042,15.588268284350317,118817
Louth,0,65972,49428.24500574895,124293.9087,75190.22392540147,Inf,0.7492306585483076,0.6049389283177437,27358.83848848234,12270.287748130444,8116.186862664315,1682.9319064718425,40059.71329512959,13419.353640344434,20743.935952318392,967.2210376090557,2.3859484448776636,6.555325926959743,27.316531304192154,47.884551061114,49.63986803603826,1179.3324430449884,31319.853221810674,10051.976041351845,4842.970056767695,2034.1132427737402,866.0996124009704,165.44827921396848,91.80718639234252,55.97736503770692,19158.170503835296,7190.64127448747,4184.848247100368,786.1931963875389,4203.822531481945,3461.544039988901,1851.0422920136973,535.5671778673021,1417.55827657059,1281.536013633352,1868.958589174893,274.9171773888606,1713.187564193538,171.11814080675347,119.53054798301466,30.27698979043414,128884
Mayo,0,64171,46836.73243020841,126767.58734999999,72059.07166181102,Inf,0.7298738126288886,0.5684345120717565,25619.943730735118,11652.612469710284,8749.648622058581,814.5276077044281,32000.392731790987,14116.607938776584,20396.04855037231,5546.022440871137,0.9528750450259745,4.275353769459677,27.812004387506505,41.13983753923952,44.442108237662694,446.2955352330436,33819.37493183166,5118.710636149122,5042.070826094954,2410.2805008996297,310.9043330166408,87.9940308500992,40.264897727603724,7.132273638699877,20001.327993276565,8336.010892707267,4993.931319495084,488.1047263527472,2806.04669790614,1253.4840405302198,900.342467466103,158.8374302466596,318.6802745390923,1852.8601254718408,2725.226682574624,145.303743509397,2182.984431996682,122.26338015085729,89.88325479516614,15.149433956924364,130507
Wicklow,0,74693,49924.96636733309,137597.73525,267668.1058517903,Inf,0.6684022112826247,1.945294414660726,27133.363723188115,13349.666708648349,8110.616340259373,1331.3195952372448,225330.01418844835,14867.260081856748,22535.37240664601,4935.459174839172,1.2975483297689485,3.5234605232166185,20.032920965281853,32.98157139714754,36.43331146480983,647.8005672370398,32059.238566793032,8560.13160727541,6627.793602723064,2030.0020233045325,446.6500315471123,116.68843765216373,66.72945139147853,17.732646646285293,18612.013611943035,8532.515814427303,4437.215614752461,477.4935256702364,3184.3963932169563,3278.9578111044357,1838.4840181624961,258.29338479152295,3106.9328217809352,1282.5540791424407,1683.724713752525,554.5819880471626,1783.3708647000765,138.95056632200703,84.46254220041156,23.21805008203754,142425
Kerry,0,70138,52356.78288322502,143950.2894,87352.85343543289,Inf,0.7464824044487299,0.6068265218467347,29575.750766449284,12758.880041874401,8677.986443761029,1344.165631140308,43082.017233465784,15157.468536129481,23845.168796436807,5268.198869400812,1.667844418072171,5.050824598730803,28.047335178767923,41.19572949561509,43.95336541171544,873.2296808000344,38107.9992206288,6269.954771301912,4511.311668034689,2594.287542459588,667.111964161974,96.37169398946001,74.26035542546803,35.48566722313234,22759.160154323396,9193.82239465474,5336.609515470519,818.4071561801413,3547.4712467291615,1515.676223633536,955.764943381045,251.04235755816953,322.3376867749447,1797.186498567045,2185.6803660869805,206.10711660571914,2279.669714459807,155.82323102961934,125.67126339701595,33.123333573145786,147707
Wexford,0,74134,53510.794313725295,144922.56689999998,101237.59040215395,Inf,0.7218117775072881,0.6985633263866372,29052.786209090013,14250.389876206786,9540.727544176385,666.8906842521128,57293.93497328402,15685.41174316045,24584.225339816046,3674.018345893433,0.8158079539294701,3.327535319492404,23.999581318049383,36.05800691797286,40.03111282769077,436.5453162222096,38330.58378793116,6856.766096576845,5366.613265304927,2520.2858476901624,337.2180922384978,73.68162524283001,23.569881454973125,2.075717285908618,22647.63077019422,10115.326422277189,5187.129382174853,380.49721328489085,3288.769910452813,2121.746031117879,1343.0546486057558,103.19550640039768,501.2258169732226,1789.2786997895062,2904.6571374755254,171.45161106667277,2277.9416192312597,150.357097779382,82.31649446527769,9.670636214242924,149722
Donegal,0,69516,54633.5132162553,154265.64195000002,74870.26424027473,Inf,0.785912785779609,0.48533337231722273,28114.538938564758,14710.310156160935,10362.707306758148,1445.9568147714522,31480.167344247402,15688.430382181808,24210.58572420109,3491.0807896444276,0.4925112588786088,2.7149501012425534,21.203730845838372,34.780963113215776,39.2860149499974,269.0762037109901,36827.722617929045,5337.034429521262,9310.31437826643,2889.3655868275628,174.6391881372901,69.63195707272229,17.795300984144518,7.009757516833193,22194.73376493842,8972.274313021206,4876.752691200171,783.9618487692524,2672.180431956966,1537.1521066463738,856.7357829269974,270.9661079909244,512.2727602237272,3937.2530234729516,4510.359456788102,350.42913778164944,2560.7127933083534,193.9987559476829,101.06407485873333,33.589962712792826,159192
